company_name,sector,company_size,initial_capital,establishment_date,active,death_date,x,y
天津市南开区雄鹰散热器厂,Parts,XS(微型),8403.6,2001-09-05,True,,-5.1802,-1.042
天津市夏威汽车配件综合加工厂,Parts,XS(微型),18679.15,1997-06-09,False,,-14.046,2.3212
天津市国脉工贸有限公司,Parts,XS(微型),13793.49,2001-05-29,False,,3.2114,-3.8937
天津市散热器厂,Parts,M(中型),262086.3,1981-08-20,False,,-0.3785,5.8126
天津友联汽车零部件有限公司,Parts,XS(微型),6207.3,2012-06-25,True,,12.6312,-12.6242
天津市闽东汽车销售有限公司,Parts,S(小型),25707.83,2001-06-26,False,,5.4135,0.2963
天津市强迪汽车零部件有限公司,Parts,XS(微型),5419.26,1998-10-21,False,,-3.5126,-1.5585
天津市津府工程机械有限公司,Electronics,S(小型),80623.41,1997-05-30,True,,0.5051,5.8566
天津市通南五金电器制品厂,Parts,S(小型),52624.91,1993-05-29,False,,-13.1816,-4.3982
天津市京津内燃机配件厂,Parts,XS(微型),13343.57,1996-09-02,False,2002-10-30,-1.2747,6.7299
天津市河东区中联五金工具机械厂,Parts,S(小型),20673.69,1993-11-02,False,,7.326,-3.0505
天津市专用电机厂,Battery/Motor,S(小型),95272.57,1981-08-24,False,,12.0571,-5.2261
天津市华夏车辆制造有限公司,OEM,S(小型),76362.9,1996-12-09,True,,-7.0401,-1.0149
天津三峰客车配件制造厂,OEM,S(小型),28148.07,1992-12-24,False,,-5.9506,-0.97
天津市天鹏汽车配件厂,OEM,XS(微型),6433.39,1997-12-17,False,2006-11-20,-2.2393,2.1448
天津市华夏车辆制造有限公司第一分公司,OEM,S(小型),26867.31,2022-07-11,False,2024-01-17,-8.5583,1.2299
天津伊利萨尔新能源汽车有限公司,OEM,S(小型),32635.19,2014-11-26,True,,-4.3399,-4.2434
天津丽淮新能源科技有限公司,OEM,XS(微型),10349.15,2020-12-18,False,2021-10-25,11.9286,-11.5593
天津大天电动车有限公司,OEM,XS(微型),9099.69,2002-09-23,False,2017-06-16,7.3601,-12.4317
天津市河西区色域改装汽车制造工作室,OEM,XS(微型),7486.99,2023-08-04,True,,6.502,-7.3503
